TCACAA;cice
R534SOU;73923,59523
R535;1438,384011
R535107;175,083302
R535285;1371,968987
R616000;29961,4198
R616107;7711,522234
R616231;5423,893732
R616254;1067,536048
R6167S1;50,2233918
R616ACE;24534,68986
R616N16;307315,2476
R623000;11609,89924
R623107;4270,502889
R623254;1023,624622
R623284;40825,49511
R623286;140416,5523
R6237S1;41,22596092
R626000;20597,80448
R626107;6969,336113
R626254;584,2729323
R6267S1;25,52231045
R626ACE;11018,24621
R626N16;28073,23417
R626N26;250037,6816
R633000;2063,382509
R633207;3029,918226
R633555;2225,556237
R633700;7512,387309
R635;5809,151607
R635000;415727,0825
R635107;61352,51412
R635108;571,609808
R635115;2250,733093
R635201;303684,0804
R635207;305153,1581
R635254;4463,041992
R635392;4814,550573
R635555;213516,1465
R635700;377605,5092
R6357S1;204,6182781
R635999;1629,700367
R635R00;783848,8529
R636000;447,8582962
R636231;7593,008543
R636487;3767,292851
R636N16;4484,346805
R636N36;9143,632631
R802;358,499224
R802000;60785,07576
R802108;553851,9476
R802115;129,9801417
R802207;1688,773316
R882;374,8656975
R882000;1230,853707
R882107;68,41381006
R882108;3308,945642
R882207;4558,254013
