PC;Lib_Processus_Cascade;AM;Lib_Activite_Metier;AC;Lib_Activite_Cascade;Label;Lib_Label_Analytique;Concatener_PC_AM_AC_Label;Code_manuel;Type_activite;Activite_1;Lib_Code
PC100;CORSE DOM COURRIER;AM2300;DISTRIBUTION PNA;AC390;CORSE DOM COURRIER;OCCCNA;CORSE DOM DISTRIBUTION PNA EN CC (HORS 6;PC100AM2300AC390OCCCNA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2300;DISTRIBUTION PNA;AC390;CORSE DOM COURRIER;OCCTNA;CORSE DOM DISTRIBUTION PNA EN CTC (HORS;PC100AM2300AC390OCCTNA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2400;DISTRIBUTION COLIS;AC390;CORSE DOM COURRIER;OMCCDP;CORSE DOM DISTRIBUTION DEDIEE COLIS EN C;PC100AM2400AC390OMCCDP;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2400;DISTRIBUTION COLIS;AC390;CORSE DOM COURRIER;OMCTDP;CORSE DOM DISTRIBUTION DEDIEE COLIS EN C;PC100AM2400AC390OMCTDP;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2500;PRODUCTION COLIS;AC390;CORSE DOM COURRIER;OMCZPM;CORSE DOM PRODUCTION COLIS PILOTEE COURR;PC100AM2500AC390OMCZPM;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3000;TRI COURRIER;AC390;CORSE DOM COURRIER;OCCT48;CORSE DOM CTC (448);PC100AM3000AC390OCCT48;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3000;TRI COURRIER;AC390;CORSE DOM COURRIER;OCCTCT;CORSE DOM CTC;PC100AM3000AC390OCCTCT;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3000;TRI COURRIER;AC390;CORSE DOM COURRIER;OCCTIN;CORSE DOM CTC INDIVIS;PC100AM3000AC390OCCTIN;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3000;TRI COURRIER;AC390;CORSE DOM COURRIER;OCCTMC;CORSE DOM CTC ENVOI RECEPTION CABINE;PC100AM3000AC390OCCTMC;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3000;TRI COURRIER;AC390;CORSE DOM COURRIER;OCCTNP;CORSE DOM CTC NON PRODUCTIF;PC100AM3000AC390OCCTNP;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3100;TRI COLIS;AC390;CORSE DOM COURRIER;OCCTPA;CORSE DOM CHAINES PAQUETS CTC;PC100AM3100AC390OCCTPA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3400;TRANSPORTS REGIE;AC390;CORSE DOM COURRIER;OCCCTR;TRANSPORTS REGIE HORS ILE DE FRANCE EN C;PC100AM3400AC390OCCCTR;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM3400;TRANSPORTS REGIE;AC390;CORSE DOM COURRIER;OCCTTR;TRANSPORTS REGIE HORS ILE DE FRANCE EN C;PC100AM3400AC390OCCTTR;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM4300;STRUCT TERRIT GROUPEMENTS;AC390;CORSE DOM COURRIER;OCCGIN;CORSE DOM INDIVIS GPT COURRIER;PC100AM4300AC390OCCGIN;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM5200;STRUCT TERRIT AUTRES;AC390;CORSE DOM COURRIER;OCCDBA;CORSE DOM EGFA COURRIER;PC100AM5200AC390OCCDBA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM5200;STRUCT TERRIT AUTRES;AC390;CORSE DOM COURRIER;OCCDBR;BRIGADES & EAR (SOLDE);PC100AM5200AC390OCCDBR;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM5200;STRUCT TERRIT AUTRES;AC390;CORSE DOM COURRIER;OCCDIN;CORSE DOM INDIVIS DONT DD DOT COURRIER;PC100AM5200AC390OCCDIN;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM6200;ACTIVITES SOCIALES;AC390;CORSE DOM COURRIER;OCCZSO;CORSE DOM COURRIER ACTIVITE SOCIALE;PC100AM6200AC390OCCZSO;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM7550;VEHICULES;AC390;CORSE DOM COURRIER;OCCCVE;CORSE DOM VEHICULES CENTRE COURRIER;PC100AM7550AC390OCCCVE;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM7550;VEHICULES;AC390;CORSE DOM COURRIER;OCCTVE;CORSE DOM VEHICULES COURRIER CTC;PC100AM7550AC390OCCTVE;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM7550;VEHICULES;AC390;CORSE DOM COURRIER;OCCZVE;CORSE DOM VEHICULES STRUCTURE TERRITORIA;PC100AM7550AC390OCCZVE;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM7600;LOCAUX;AC390;CORSE DOM COURRIER;OCCCIM;IMMOBILIER EN CC & CTC;PC100AM7600AC390OCCCIM;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM7600;LOCAUX;AC390;CORSE DOM COURRIER;OCCZIM;IMMOBILIER STRUCTURE CORSE DOM COURRIER;PC100AM7600AC390OCCZIM;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM9200;ETN;AC390;CORSE DOM COURRIER;OCCINA;INDIVIS NON AFFECTE ELP COURRIER;PC100AM9200AC390OCCINA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC090;COLIS PILOTAGE ELP;AM1600;COMMISSIONNEMENT COLIS;AC090;BP;PMPBCO;COMMISSIONNEMENT COLIS PILOTE ELP EN BP;PC090AM1600AC090PMPBCO;6;Activités opérationnelles;Activités Colis;Activités Colis
PC090;COLIS PILOTAGE ELP;AM1600;COMMISSIONNEMENT COLIS;AC110;HORS BP;PMPZCO;COMMISSIONNEMENT COLIS PILOTE ELP;PC090AM1600AC110PMPZCO;6;Activités opérationnelles;Activités Colis;Activités Colis
PC090;COLIS PILOTAGE ELP;AM2500;PRODUCTION COLIS;AC160;PRODUCTION COLIS;PMPBIN;BP - COLIS INDEMNITES;PC090AM2500AC160PMPBIN;6;Activités opérationnelles;Activités Colis;Activités Colis
PC090;COLIS PILOTAGE ELP;AM2500;PRODUCTION COLIS;AC160;PRODUCTION COLIS;PMPBPM;BP - PRODUCTION COLIS;PC090AM2500AC160PMPBPM;6;Activités opérationnelles;Activités Colis;Activités Colis
PC090;COLIS PILOTAGE ELP;AM3700;FRAIS TERMINAUX / DROITS DE DOUANE;AC170;FRAIS TERMINAUX / DROITS DE DOUANE;PMPDDD;DROITS DE DOUANE COLIS ELP;PC090AM3700AC170PMPDDD;6;Activités opérationnelles;Activités Colis;Activités Colis
PC090;COLIS PILOTAGE ELP;AM2500;PRODUCTION COLIS;AC160;PRODUCTION COLIS;PMPZIN;HORS BP - COLIS INDEMNITES;PC090AM2500AC160PMPZIN;6;Activités opérationnelles;Activités Colis;Activités Colis
PC060;SF PILOTAGE ELP;AM1100;COMMERCIAL SF EN BP;AC030;COMMERCIAL SF EN BP;PFPBC9;BP - COMMERCIAUX SF (BRIGADES);PC060AM1100AC030PFPBC9;7;Activités opérationnelles;Ligne Conseil Bancaire;Activités LCB en BP
PC060;SF PILOTAGE ELP;AM1100;COMMERCIAL SF EN BP;AC030;COMMERCIAL SF EN BP;PFPBCA;BP - COMMERCIAUX SF;PC060AM1100AC030PFPBCA;7;Activités opérationnelles;Ligne Conseil Bancaire;Activités LCB en BP
PC060;SF PILOTAGE ELP;AM1400;COMMISSIONNEMENT SF;AC020;COMMISSIONNEMENT SF;PFPBCO;COMMISSIONNEMENT SF PILOTE ELP EN BP;PC060AM1400AC020PFPBCO;9;Activités opérationnelles;Ligne Conseil Bancaire;Commissionnement LCB
PC060;SF PILOTAGE ELP;AM1400;COMMISSIONNEMENT SF;AC020;COMMISSIONNEMENT SF;PFPZCO;COMMISSIONNEMENT SF PILOTE ELP;PC060AM1400AC020PFPZCO;9;Activités opérationnelles;Ligne Conseil Bancaire;Commissionnement LCB
PC060;SF PILOTAGE ELP;AM1200;COMMERCIAL SF HORS BP;AC110;HORS BP;PFPDCA;COMMERCIAUX SF STRUCTURES TERRIT ELP;PC060AM1200AC110PFPDCA;10;Activités opérationnelles;Ligne Conseil Bancaire;Activités LCB hors BP
PC010;ACTIVITE GUICHET;AM0100;ACTIVITE GUICHET;AC010;ACTIVITE GUICHET;PPPBG9;BP - GUICHET (BRIGADES);PC010AM0100AC010PPPBG9;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0100;ACTIVITE GUICHET;AC010;ACTIVITE GUICHET;PPPBGU;BP - GUICHET;PC010AM0100AC010PPPBGU;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0100;ACTIVITE GUICHET;AC010;ACTIVITE GUICHET;PPPBPP;BP - AUTRES POINTS DE CONTACT;PC010AM0100AC010PPPBPP;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0100;ACTIVITE GUICHET;AC010;ACTIVITE GUICHET;PPPRPP;REMUNERATION PRESTATIONS POSTALES;PC010AM0100AC010PPPRPP;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0200;ACTIVITE SOUTIEN GUICHET;AC010;ACTIVITE GUICHET;PPPBSG;BP - SOUTIEN GUICHET;PC010AM0200AC010PPPBSG;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0300;CHARGES ELP NON DECONCENTREES;AC010;ACTIVITE GUICHET;PPPDEC;CHARGES ELP NON DECONCENTREES EXTERNALIS;PC010AM0300AC010PPPDEC;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0300;CHARGES ELP NON DECONCENTREES;AC010;ACTIVITE GUICHET;PPPDND;CHARGES ELP NON DECONCENTREES;PC010AM0300AC010PPPDND;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC010;ACTIVITE GUICHET;AM0300;CHARGES ELP NON DECONCENTREES;AC010;ACTIVITE GUICHET;PPPDTF;CHARGES ELP NON DECONCENTREES TRANSPORT;PC010AM0300AC010PPPDTF;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC120;CHARGES DIVERSES;AM9300;ETN RH (AUTRES);AC380;ETN RH 1;PPHSEC;ECRITURES COMPTABLES NATIONALES RH ELP;PC120AM9300AC380PPHSEC;26;Structures;Ecritures Nationales RH;ETN RH tout domaine hors DPOM
PC120;CHARGES DIVERSES;AM9300;ETN RH (AUTRES);AC380;ETN RH 1;PPHZCO;COMMISSIONNEMENT PILOTE ELP (REGUL.);PC120AM9300AC380PPHZCO;26;Structures;Ecritures Nationales RH;ETN RH tout domaine hors DPOM
